TERCİH KODU,İL,İLÇE,OKUL ADI,TÜRÜ,ALAN,YABANCI DİLİ,TABAN PUAN,TABAN YÜZDE,TAVAN PUAN,TAVAN YÜZDE,ORTALAMA GIRIS PUANI
50283,karaman,merkez,turkiye odalar ve borsalar birligi fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,442.0957,3.72,480.9276,0.42,461.51165000000003
39761,karaman,ermenek,ermenek uysal-hasan kalan fen lisesi,fen lisesi,fen bilimleri alani (fen lis.),ingilizce,393.1461,11.14,433.7202,4.76,413.43314999999996
49641,karaman,merkez,karaman necip fazil kisakurek sosyal bilimler lisesi,sosyal bilimler lisesi,,ingilizce,377.484,14.2,406.0695,8.9,391.77675
40951,karaman,merkez,karaman necip fazil kisakurek sosyal bilimler lisesi,hazirlik sinifi bulunmayan sosyal bilimler lisesi,,ingilizce,392.5725,11.25,412.3574,7.86,402.46495
49272,karaman,merkez,irfan ataseven anadolu lisesi,anadolu lisesi,,ingilizce,411.3463,8.02,442.0562,3.73,426.70124999999996
49264,karaman,merkez,15 temmuz sehit muhammed yalcin kiz anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,344.211,21.97,469.1019,1.12,406.65645
65492,karaman,merkez,karaman anadolu imam hatip lisesi,anadolu imam hatip lisesi,fen ve sosyal bilimler programi,ingilizce,314.6608,30.92,388.7341,11.96,351.69745
49712,karaman,merkez,prof. dr. omer dincer anadolu imam hatip lisesi,hazirlik sinifi bulunan anadolu imam hatip lisesi,fen ve sosyal bilimler programi,arapca,340.7873,22.89,447.161,3.13,393.97415
40129,karaman,merkez,temizel-unlu mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,295.6277,37.95,353.4701,19.61,324.5489
49460,karaman,merkez,temizel-unlu mesleki ve teknik anadolu lisesi,anadolu teknik programi,yenilenebilir enerji teknolojileri alani,ingilizce,281.6976,43.88,375.723,14.56,328.7103
50312,karaman,merkez,karaman mesleki ve teknik anadolu lisesi,anadolu teknik programi,elektrik- elektronik teknolojisi alani,ingilizce,252.1998,58.97,315.5885,30.61,283.89415
